# repnum maxrepnum
960 1000
# trueest_gibbs trueest_isamp
 1.26858 1.26823
# runtime var_gibbs var_isamp mean_gibbs mean_isamp mean_nsamp_gibbs mean_effsamp_isamp mean_nitt_gibbs mean_nitt_isamp
0.01 0.000545703 0.000262004 1.26797 1.26803 34162.5 1301.24 35162.5 8011.67
0.0141254 0.000336507 0.000180626 1.26843 1.26851 50725.8 1792.75 51725.8 11041.6
0.0199526 0.000260568 0.000148468 1.26931 1.26785 68337.3 2392.46 69337.3 14735.5
0.0281838 0.00019498 9.89366e-05 1.26879 1.2686 99638.4 3465.86 100638 21328.8
0.0398107 0.000127347 6.68547e-05 1.26855 1.26785 138014 4790.1 139014 29501
0.0562341 9.34551e-05 5.08126e-05 1.26886 1.26838 197608 6846.74 198608 42159.9
0.0794328 6.0805e-05 3.43233e-05 1.2684 1.26851 277185 9564.47 278185 58888.9
0.112202 4.1145e-05 2.50658e-05 1.26852 1.2679 393411 13609.2 394411 83782.1
0.158489 3.00278e-05 1.76397e-05 1.26868 1.268 554352 19143.7 555352 117873
0.223872 2.25787e-05 1.30062e-05 1.26857 1.26804 781730 26908.3 782730 165647
0.316228 1.61372e-05 8.25216e-06 1.26858 1.26816 1.10407e+06 38157.9 1.10507e+06 234925
0.446684 1.17839e-05 6.11887e-06 1.26845 1.26817 1.56126e+06 53736.4 1.56226e+06 330902
0.630957 7.93352e-06 4.05706e-06 1.26874 1.26828 2.20615e+06 75847.2 2.20715e+06 467059
0.891251 5.47769e-06 3.182e-06 1.26861 1.26824 3.11503e+06 107053 3.11603e+06 659166
1.25893 4.30483e-06 2.38734e-06 1.26853 1.2682 4.40481e+06 151460 4.40581e+06 932706
1.77828 2.75173e-06 1.65801e-06 1.26859 1.26815 6.22104e+06 213915 6.22204e+06 1.31727e+06
2.51189 2.06677e-06 1.09205e-06 1.26856 1.26822 8.78711e+06 302318 8.78811e+06 1.86163e+06
3.54813 1.43817e-06 8.60027e-07 1.26862 1.26824 1.24128e+07 427110 1.24138e+07 2.63003e+06
5.01187 9.87709e-07 5.46838e-07 1.26861 1.26826 1.75319e+07 602100 1.75329e+07 3.70769e+06
7.07946 6.05057e-07 3.99924e-07 1.26855 1.26824 2.47519e+07 851023 2.47529e+07 5.2402e+06
10 4.90642e-07 2.71965e-07 1.26858 1.26823 3.49585e+07 1.2022e+06 3.49595e+07 7.40317e+06
